date;valuation;cashIn;cashOut
2017-09-30;387 985,17;0,00;0,00
2017-10-01;387 985,17;0,00;0,00
2017-10-02;387 985,17;0,00;0,00
2017-10-03;386 764,17;0,00;0,00
2017-10-04;387 508,77;0,00;0,00
2017-10-05;386 582,97;0,00;0,00
2017-10-06;385 370,37;0,00;0,00
2017-10-07;386 450,97;0,00;0,00
2017-10-08;386 450,97;0,00;0,00
2017-10-09;386 450,97;0,00;0,00
2017-10-10;389 774,37;0,00;0,00
2017-10-11;388 311,57;0,00;0,00
2017-10-12;387 409,77;0,00;0,00
2017-10-13;386 005,17;0,00;0,00
2017-10-14;385 601,37;0,00;0,00
2017-10-15;385 601,37;0,00;0,00
2017-10-16;385 601,37;0,00;0,00
2017-10-17;382 400,37;0,00;0,00
2017-10-18;383 918,97;0,00;0,00
2017-10-19;383 516,37;0,00;0,00
2017-10-20;385 307,37;0,00;0,00
2017-10-21;384 954,57;0,00;0,00
2017-10-22;384 954,57;0,00;0,00
2017-10-23;384 954,57;0,00;0,00
2017-10-24;384 707,37;0,00;0,00
2017-10-25;385 394,97;0,00;0,00
2017-10-26;385 567,77;0,00;0,00
2017-10-27;386 469,57;0,00;0,00
2017-10-28;388 383,57;0,00;0,00
2017-10-29;388 383,57;0,00;0,00
2017-10-30;388 383,57;0,00;0,00
2017-10-31;387 061,93;0,00;0,00
2017-11-01;388 539,73;0,00;0,00
2017-11-02;388 766,53;0,00;0,00
2017-11-03;388 353,73;0,00;0,00
2017-11-04;390 409,93;0,00;0,00
2017-11-05;390 409,93;0,00;0,00
2017-11-06;390 409,93;0,00;0,00
2017-11-07;390 409,93;0,00;0,00
2017-11-08;390 566,53;0,00;0,00
2017-11-09;395 320,33;0,00;0,00
2017-11-10;395 348,53;0,00;0,00
2017-11-11;395 517,13;0,00;0,00
2017-11-12;395 517,13;0,00;0,00
2017-11-13;395 517,13;0,00;0,00
2017-11-14;394 926,13;0,00;0,00
2017-11-15;397 556,53;0,00;0,00
2017-11-16;401 326,33;0,00;0,00
2017-11-17;399 771,13;0,00;0,00
2017-11-18;397 627,33;0,00;0,00
2017-11-19;397 627,33;0,00;0,00
2017-11-20;397 627,33;0,00;0,00
2017-11-21;395 479,93;0,00;0,00
2017-11-22;396 594,73;0,00;0,00
2017-11-23;393 868,93;0,00;0,00
2017-11-24;390 605,53;0,00;0,00
2017-11-25;391 023,13;0,00;0,00
2017-11-26;391 023,13;0,00;0,00
2017-11-27;391 023,13;0,00;0,00
2017-11-28;389 496,13;0,00;0,00
2017-11-29;390 307,33;0,00;0,00
2017-11-30;389 758,91;0,00;0,00
2017-12-01;391 260,71;0,00;0,00
2017-12-02;390 881,51;0,00;0,00
2017-12-03;390 881,51;0,00;0,00
2017-12-04;390 881,51;0,00;0,00
2017-12-05;393 718,91;0,00;0,00
2017-12-06;391 926,71;0,00;0,00
2017-12-07;393 340,91;0,00;0,00
2017-12-08;395 541,11;0,00;0,00
2017-12-09;395 458,91;0,00;0,00
2017-12-10;395 458,91;0,00;0,00
2017-12-11;395 458,91;0,00;0,00
2017-12-12;395 181,11;0,00;0,00
2017-12-13;392 794,31;0,00;0,00
2017-12-14;394 639,91;0,00;0,00
2017-12-15;392 021,51;0,00;0,00
2017-12-16;393 164,51;0,00;0,00
2017-12-17;393 164,51;0,00;0,00
2017-12-18;393 164,51;0,00;0,00
2017-12-19;391 936,31;0,00;0,00
